State/UTs,Urban ,Rural,Total
Pradesh,8454,11277,19731
Maharashtra,3409,8378,11787
Madhya Pradesh,2897,7285,10182
Karnataka,2855,7205,10060
Tamil Nadu,3570,6243,9813
Rajasthan,2231,7240,9471
Andhra Pradesh,2161,5228,7389
Bihar,2615,4116,6731
Gujarat,2130,4596,6726
Telangana,2742,3730,6472
